filename,lat,lon,pm2_5,pm10,timestamp_exif
A_img1.png,23.0225,72.5714,99.04,117.51,
A_img10.png,23.0225,72.5714,99.04,117.51,
A_img100.png,23.0225,72.5714,99.04,117.51,
A_img101.png,23.0225,72.5714,99.04,117.51,
A_img102.png,23.0225,72.5714,99.04,117.51,
A_img103.png,23.0225,72.5714,99.04,117.51,
A_img104.png,23.0225,72.5714,99.04,117.51,
A_img105.png,23.0225,72.5714,99.04,117.51,
A_img106.png,23.0225,72.5714,99.04,117.51,
A_img107.png,23.0225,72.5714,99.04,117.51,
A_img108.png,23.0225,72.5714,99.04,117.51,
A_img109.png,23.0225,72.5714,99.04,117.51,
A_img11.png,23.0225,72.5714,99.04,117.51,
A_img110.png,23.0225,72.5714,99.04,117.51,
A_img111.png,23.0225,72.5714,99.04,117.51,
A_img112.png,23.0225,72.5714,99.04,117.51,
A_img113.png,23.0225,72.5714,99.04,117.51,
A_img114.png,23.0225,72.5714,99.04,117.51,
A_img115.png,23.0225,72.5714,99.04,117.51,
A_img116.png,23.0225,72.5714,99.04,117.51,
A_img117.png,23.0225,72.5714,99.04,117.51,
A_img118.png,23.0225,72.5714,99.04,117.51,
A_img119.png,23.0225,72.5714,99.04,117.51,
A_img12.png,23.0225,72.5714,99.04,117.51,
A_img120.png,23.0225,72.5714,99.04,117.51,
A_img121.png,23.0225,72.5714,99.04,117.51,
A_img122.png,23.0225,72.5714,99.04,117.51,
A_img123.png,23.0225,72.5714,99.04,117.51,
A_img124.png,23.0225,72.5714,99.04,117.51,
A_img125.png,23.0225,72.5714,99.04,117.51,
A_img126.png,23.0225,72.5714,99.04,117.51,
A_img127.png,23.0225,72.5714,99.04,117.51,
A_img128.png,23.0225,72.5714,99.04,117.51,
A_img129.png,23.0225,72.5714,99.04,117.51,
A_img13.png,23.0225,72.5714,99.04,117.51,
A_img130.png,23.0225,72.5714,99.04,117.51,
A_img131.png,23.0225,72.5714,99.04,117.51,
A_img132.png,23.0225,72.5714,99.04,117.51,
A_img133.png,23.0225,72.5714,99.04,117.51,
A_img134.png,23.0225,72.5714,99.04,117.51,
A_img135.png,23.0225,72.5714,99.04,117.51,
A_img136.png,23.0225,72.5714,99.04,117.51,
A_img137.png,23.0225,72.5714,99.04,117.51,
A_img138.png,23.0225,72.5714,99.04,117.51,
A_img139.png,23.0225,72.5714,99.04,117.51,
A_img14.png,23.0225,72.5714,99.04,117.51,
A_img140.png,23.0225,72.5714,99.04,117.51,
A_img141.png,23.0225,72.5714,99.04,117.51,
A_img142.png,23.0225,72.5714,99.04,117.51,
A_img143.png,23.0225,72.5714,99.04,117.51,
A_img144.png,23.0225,72.5714,99.04,117.51,
A_img145.png,23.0225,72.5714,99.04,117.51,
A_img146.png,23.0225,72.5714,99.04,117.51,
A_img147.png,23.0225,72.5714,99.04,117.51,
A_img148.png,23.0225,72.5714,99.04,117.51,
A_img149.png,23.0225,72.5714,99.04,117.51,
A_img15.png,23.0225,72.5714,99.04,117.51,
A_img150.png,23.0225,72.5714,99.04,117.51,
A_img151.png,23.0225,72.5714,99.04,117.51,
A_img152.png,23.0225,72.5714,99.04,117.51,
A_img153.png,23.0225,72.5714,99.04,117.51,
A_img154.png,23.0225,72.5714,99.04,117.51,
A_img155.png,23.0225,72.5714,99.04,117.51,
A_img156.png,23.0225,72.5714,99.04,117.51,
A_img157.png,23.0225,72.5714,99.04,117.51,
A_img158.png,23.0225,72.5714,99.04,117.51,
A_img159.png,23.0225,72.5714,99.04,117.51,
A_img16.png,23.0225,72.5714,99.04,117.51,
A_img160.png,23.0225,72.5714,99.04,117.51,
A_img161.png,23.0225,72.5714,99.04,117.51,
A_img162.png,23.0225,72.5714,99.04,117.51,
A_img163.png,23.0225,72.5714,99.04,117.51,
A_img164.png,23.0225,72.5714,99.04,117.51,
A_img165.png,23.0225,72.5714,99.04,117.51,
A_img166.png,23.0225,72.5714,99.04,117.51,
A_img167.png,23.0225,72.5714,99.04,117.51,
A_img168.png,23.0225,72.5714,99.04,117.51,
A_img169.png,23.0225,72.5714,99.04,117.51,
A_img17.png,23.0225,72.5714,99.04,117.51,
A_img170.png,23.0225,72.5714,99.04,117.51,
A_img171.png,23.0225,72.5714,99.04,117.51,
A_img172.png,23.0225,72.5714,99.04,117.51,
A_img173.png,23.0225,72.5714,99.04,117.51,
A_img174.png,23.0225,72.5714,99.04,117.51,
A_img175.png,23.0225,72.5714,99.04,117.51,
A_img176.png,23.0225,72.5714,99.04,117.51,
A_img177.png,23.0225,72.5714,99.04,117.51,
A_img178.png,23.0225,72.5714,99.04,117.51,
A_img179.png,23.0225,72.5714,99.04,117.51,
A_img18.png,23.0225,72.5714,99.04,117.51,
A_img180.png,23.0225,72.5714,99.04,117.51,
A_img181.png,23.0225,72.5714,99.04,117.51,
A_img182.png,23.0225,72.5714,99.04,117.51,
A_img183.png,23.0225,72.5714,99.04,117.51,
A_img184.png,23.0225,72.5714,99.04,117.51,
A_img185.png,23.0225,72.5714,99.04,117.51,
A_img186.png,23.0225,72.5714,99.04,117.51,
A_img187.png,23.0225,72.5714,99.04,117.51,
A_img188.png,23.0225,72.5714,99.04,117.51,
