filename,lat,lon,pm2_5,pm10,timestamp_exif,parsed_time,set
IMG_20200310_065036.jpg,22.943264666666668,73.38008883333333,140.42,154.93,2020:03:10 06:50:36,2020-03-10 06:50:36,train
IMG_20200310_100317.jpg,22.943229555555558,73.37999547222222,140.42,154.93,2020:03:10 10:03:17,2020-03-10 10:03:17,train
IMG_20200414_183827.jpg,22.94319113888889,73.37997594444444,140.42,154.93,2020:04:14 18:38:27,2020-04-14 18:38:27,train
IMG_20200414_183834.jpg,22.94321205555556,73.37995747222222,140.42,154.93,2020:04:14 18:38:34,2020-04-14 18:38:34,train
IMG_20200416_191521.jpg,22.94328502777778,73.38003294444444,140.42,154.93,2020:04:16 19:15:21,2020-04-16 19:15:21,train
IMG_20200417_181116.jpg,22.94322491666667,73.37996766666666,140.42,154.93,2020:04:17 18:11:16,2020-04-17 18:11:16,train
IMG_20200418_183642.jpg,22.943283666666662,73.37995025,140.42,154.93,2020:04:18 18:36:42,2020-04-18 18:36:42,train
IMG_20200418_183755.jpg,22.94325863888889,73.37995355555555,140.42,154.93,2020:04:18 18:37:55,2020-04-18 18:37:55,train
IMG_20200418_184341.jpg,22.943254555555555,73.37994925,140.42,154.93,2020:04:18 18:43:41,2020-04-18 18:43:41,train
IMG_20200423_190051.jpg,22.94326980555556,73.37999663888888,140.42,154.93,2020:04:23 19:00:51,2020-04-23 19:00:51,train
IMG_20200607_172449.jpg,22.943230555555555,73.37998297222221,140.42,154.93,2020:06:07 17:24:49,2020-06-07 17:24:49,train
IMG_20200607_173910.jpg,22.943126694444445,73.37994344444444,140.42,154.93,2020:06:07 17:39:10,2020-06-07 17:39:10,train
IMG_20200621_083244.jpg,22.92800738888889,73.38173738888888,140.42,154.93,2020:06:21 08:32:44,2020-06-21 08:32:44,train
IMG_20200621_083257.jpg,22.94320625,73.3799886111111,140.42,154.93,2020:06:21 08:32:57,2020-06-21 08:32:57,train
IMG_20200706_194703.jpg,22.943239277777774,73.38005063888889,140.42,154.93,2020:07:06 19:47:03,2020-07-06 19:47:03,train
IMG_20200710_192330.jpg,22.939583527777778,73.38231019444444,140.42,154.93,2020:07:10 19:23:30,2020-07-10 19:23:30,train
IMG_20200711_141225.jpg,22.94316458333333,73.38002419444443,140.42,154.93,2020:07:11 14:12:25,2020-07-11 14:12:25,train
IMG_20200711_183451.jpg,22.94769813888889,73.37455380555555,140.42,154.93,2020:07:11 18:34:51,2020-07-11 18:34:51,train
IMG_20200805_112934.jpg,22.943215527777777,73.3799446111111,140.42,154.93,2020:08:05 11:29:34,2020-08-05 11:29:34,train
IMG_20200805_112947.jpg,22.943240166666666,73.37997216666666,140.42,154.93,2020:08:05 11:29:47,2020-08-05 11:29:47,train
IMG_20201012_180731.jpg,22.94864952777778,73.37328216666666,140.42,154.93,2020:10:12 18:07:31,2020-10-12 18:07:31,train
IMG_20201012_180739.jpg,22.94835688888889,73.37353916666666,140.42,154.93,2020:10:12 18:07:39,2020-10-12 18:07:39,train
IMG_20201108_114152.jpg,22.94737563888889,73.42325227777778,133.45,147.98,2020:11:08 11:41:51,2020-11-08 11:41:51,train
